Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
29-05-2007,64.79053276,52.96864535,14.42634726,73.64867208,54.44328519,53.31517603,20.60685278,18.25904537,30.24318601,,59.51195814,198.1066506,28.57521242,79.07610809,15.5554544,44.56581657,38.9294572,35.20820581,34.40841618,23.43734845,11.65882281,17.01298993,44.34642614,40.66960921,52.66028138,47.6173156,22.58012884,,35.60017024,36.24396698
30-05-2007,65.25061901,53.51199794,14.98397258,75.1814617,56.40539962,54.33246473,20.99671216,18.56347943,30.51511125,,60.50598504,201.1939369,28.61217906,79.83767575,15.40199252,44.68597817,39.10975573,34.9438486,33.96381305,23.68093245,11.87401673,16.92039383,44.48577077,40.95343752,52.99613475,47.6173156,22.9041955,,35.73668559,36.1481046
31-05-2007,65.27288124,53.49553271,15.28940491,75.21136979,56.47727195,53.83042615,21.41839679,18.54248398,30.11572105,,59.90812828,200.1706229,28.73786564,79.59128621,15.47167816,44.72131981,38.93696964,35.1664652,33.79628143,23.36130457,12.09134128,16.96977842,44.27675383,40.46047256,53.85103423,47.79183389,22.75261593,,36.10072653,36.05224222
01-06-2007,65.6216563,53.56962625,14.93729354,74.64311607,56.16103372,54.31925319,21.37065891,18.47599838,29.94576777,,60.66445309,200.0752292,28.98923879,79.54648811,15.59730764,44.82027642,38.98955671,35.44473594,33.5965322,23.28510845,12.07855748,17.08706681,44.22798321,40.76670836,54.02659394,48.17577413,22.48081808,,37.51896936,36.05224222
04-06-2007,65.35450945,53.52846317,15.30694109,74.75527141,56.26884221,54.91377256,21.49000361,18.43050823,30.33666031,,60.66445309,199.208014,29.42544513,79.31503128,15.45779684,44.95457468,38.74164623,35.54908747,33.34523478,23.38025845,12.19361165,16.98829764,44.02593351,41.22232749,54.05712607,48.16704822,22.44945679,,38.83861776,36.13212754
05-06-2007,64.90184395,53.33911302,15.47599492,74.39637433,56.52758257,54.64954173,21.64117358,18.30803476,29.97126076,,60.69326547,198.9044886,28.89682219,79.02384365,15.31828604,44.74959313,38.47871088,35.37516825,33.14548555,23.27749645,12.12117014,16.84014388,44.21404875,41.04306751,54.00369485,47.73075249,22.35014604,,38.31530891,35.91643719
06-06-2007,64.27850129,52.47468844,15.5983697,73.4916546,56.54914427,54.02859927,21.16379475,18.19605901,29.66534486,,60.23226748,197.161386,28.4803986,76.46288575,14.99043565,44.45979163,37.98288993,35.22907611,32.95217984,23.05674844,11.86975546,16.53766329,44.02593351,41.02812918,53.37015327,47.09376073,22.43377615,,38.4897452,35.38120559
07-06-2007,62.9872915,51.65142693,15.65249216,72.40748633,55.56449344,52.97828172,20.56707121,17.979106,29.1129967,,59.03655397,190.8307147,28.00448594,76.00743843,14.86487593,43.82364198,37.42696947,34.92993506,32.67952587,22.54674443,11.56614028,16.22900963,43.4197844,40.38237165,52.56868501,46.56147994,22.26128905,,37.73891076,35.10959552
08-06-2007,63.77389057,51.89840539,15.70560534,73.41688438,56.43414855,53.30196449,21.06831898,18.08058402,29.06201072,,59.5551767,195.1754631,28.22013386,76.95566482,15.22760401,43.91553027,37.87020335,35.76474729,32.54969064,22.87406044,11.32241755,16.37099031,43.94232674,40.99809394,53.60677723,46.83198329,22.51217937,,37.98160472,35.39718265
11-06-2007,63.29896283,51.91487062,15.16311917,72.93835493,56.5994549,53.74455113,20.94101796,18.06658705,29.04501539,,59.82889425,196.9966151,28.04166662,77.06766006,15.29735942,44.01448688,37.88522823,35.653439,33.14044091,22.85122444,11.41648597,16.27839421,43.92839228,40.98307633,53.56861208,46.4131394,22.74216217,,37.77683169,35.34925146
12-06-2007,63.10602343,51.1410048,15.18708949,72.13831352,56.11791033,53.21608947,20.7341538,17.89512419,28.51816022,,59.06536634,197.5949936,27.78140188,76.4106213,15.485699,43.70348039,37.07388485,35.81344467,32.60162473,22.72182043,11.37158968,16.11789431,43.30830871,40.30728357,53.17932749,46.23862111,22.51740626,,37.09425493,34.74212307
13-06-2007,64.70148381,51.98896415,14.82374992,73.62624101,57.44754832,53.60582994,21.10810055,18.09108175,28.3821976,,60.03778396,202.6161699,28.05653889,76.99299657,15.81494449,43.95087191,37.78005408,36.30737524,32.89375399,23.13286844,11.43358932,16.26604806,43.45462056,40.97556752,53.98842879,46.34333208,22.42332239,,37.54172192,35.14953818
14-06-2007,64.87216096,51.98073154,14.98144939,74.00009214,58.02252691,54.3853109,21.34678996,18.07346971,28.7136065,,61.06062323,195.7738416,28.1011557,77.53804009,16.20417963,44.14171681,37.8025914,36.34911586,32.6081165,23.23182444,11.4763477,16.29074036,43.48945672,40.66019756,54.4082455,46.20371745,22.5905826,,37.37486982,35.02971021
15-06-2007,65.05767961,52.49938629,15.20222864,73.38697629,58.29564174,54.94019564,21.79234354,18.1685747,29.231964,,61.90338517,196.1554163,28.22013386,78.46386743,16.90870918,44.36790334,37.98288993,36.29346171,32.93270456,23.20898844,11.42076181,16.34012494,43.59396518,40.48749497,54.96545676,46.16008788,22.47036432,,37.42037494,35.35723999
